ECG-mV,EMG-mV,foot GSR-mV,hand GSR-mV,HR-bpm,RESP-mV,Stress
-0.071,0.09325000000000001,6.2,5.099,64.0,48.1,1.0
-0.079,0.031125,6.197,5.096,64.0,48.07,1.0
-0.071,0.264125,6.195,5.095,64.0,48.08,1.0
-0.07299999999999998,0.269375,6.192,5.09,64.0,48.09,1.0
-0.022,0.271875,6.19,5.087,64.0,48.07,1.0
-0.08899999999999998,0.119125,6.187,5.086,64.0,47.98,1.0
0.121,0.3185,6.186,5.087,64.0,47.96,1.0
0.121,0.297875,6.184,5.086,64.0,48.09,1.0
0.033,0.227875,6.181,5.086,64.0,48.16,1.0
0.122,0.033625,6.179,5.087,64.0,48.37,1.0
0.272,0.22525,6.176,5.091,64.0,48.72,1.0
0.24,0.29525,6.175,5.089,64.0,49.0,1.0
-0.034,0.398875,6.173,5.087,64.0,49.13,1.0
-0.045,0.2745,6.17,5.084,62.0,49.15,1.0
-0.047,0.163125,6.168,5.081,62.0,49.05,1.0
-0.059,0.160625,6.165,5.077,62.0,48.91,1.0
-0.057,0.3315,6.163,5.075,62.0,49.06,1.0
-0.01,0.33925,6.16,5.071,62.0,49.35,1.0
-0.082,0.38325,6.158,5.07,62.0,49.71,1.0
0.193,0.300375,6.155,5.067,62.0,49.98,1.0
0.028,0.33925,6.153,5.065,62.0,50.17,1.0
0.018,0.35475,6.151,5.062,62.0,50.31,1.0
0.118,0.2745,6.148,5.06,62.0,50.48,1.0
0.276,0.227875,6.146,5.057,62.0,50.68,1.0
0.178,0.347,6.144,5.054,62.0,50.89,1.0
-0.065,0.33925,6.141,5.051,71.0,51.14,1.0
-0.07299999999999998,0.31075,6.139,5.05,71.0,51.35,1.0
-0.072,0.227875,6.136,5.047,71.0,51.45,1.0
-0.094,0.35225,6.134,5.045,71.0,51.46,1.0
-0.047,0.321125,6.131,5.042,71.0,51.51,1.0
-0.07,0.32625,6.13,5.04,71.0,51.53,1.0
-0.114,0.36775,6.126,5.038,71.0,51.52,1.0
0.299,0.22525,6.125,5.035,71.0,51.4,1.0
-0.09300000000000001,0.256375,6.121,5.034,71.0,51.17,1.0
0.015,0.3315,6.12,5.032,71.0,50.89,1.0
0.14,0.35475,6.118,5.03,71.0,50.6,1.0
0.285,0.385875,6.115,5.029,71.0,50.34,1.0
0.016,0.372875,6.113,5.028,71.0,50.1,1.0
-0.106,0.35475,6.11,5.027,73.0,49.83,1.0
-0.092,0.3315,6.108,5.029,73.0,49.6,1.0
-0.095,0.19425,6.105,5.03,73.0,49.36,1.0
-0.107,0.25125,6.103,5.033,73.0,49.15,1.0
-0.109,0.163125,6.1,5.035,73.0,49.0,1.0
-0.04,0.269375,6.099,5.041,73.0,48.91,1.0
-0.104,0.39625,6.097,5.048,73.0,48.9,1.0
-0.111,0.328875,6.096,5.057,73.0,48.85,1.0
0.249,0.365125,6.093,5.068,73.0,48.78,1.0
-0.031,0.220125,6.093,5.082,73.0,48.76,1.0
0.04,0.227875,6.091,5.097,73.0,48.76,1.0
0.183,0.2305,6.091,5.116,73.0,48.77,1.0
0.25,0.269375,6.091,5.139,73.0,48.79,1.0
-0.064,0.422125,6.091,5.163,73.0,48.76,1.0
-0.117,0.297875,6.094,5.184,68.0,48.74,1.0
-0.113,0.29525,6.097,5.204,68.0,48.72,1.0
-0.131,0.277125,6.101,5.224,68.0,48.62,1.0
-0.141,0.316,6.106,5.246,68.0,48.58,1.0
-0.147,0.168375,6.114,5.269,68.0,48.57,1.0
-0.143,0.401375,6.122,5.293,68.0,48.58,1.0
-0.081,0.196875,6.132,5.315,68.0,48.61,1.0
-0.151,0.025875,6.145,5.337,68.0,48.59,1.0
-0.135,0.248625,6.157,5.357,68.0,48.59,1.0
0.189,0.227875,6.171,5.377,68.0,48.59,1.0
-0.076,0.2305,6.186,5.399,68.0,48.6,1.0
0.001,0.025875,6.201,5.419,68.0,48.63,1.0
0.15,0.119125,6.216,5.438,62.0,48.64,1.0
0.215,0.27975,6.233,5.451,62.0,48.64,1.0
-0.094,0.357375,6.251,5.465,62.0,48.63,1.0
-0.14,0.292625,6.267,5.476,62.0,48.61,1.0
-0.134,0.313375,6.284,5.483,62.0,48.58,1.0
-0.143,0.259,6.3,5.49,62.0,48.48,1.0
-0.153,0.2745,6.317,5.495,62.0,48.47,1.0
-0.154,0.313375,6.333,5.499,62.0,48.47,1.0
-0.152,0.300375,6.348,5.502,62.0,48.47,1.0
-0.122,0.316,6.361,5.506,62.0,48.49,1.0
-0.119,0.2305,6.375,5.507,62.0,48.49,1.0
-0.158,0.199375,6.386,5.509,62.0,48.49,1.0
0.272,0.264125,6.398,5.505,62.0,48.5,1.0
-0.165,0.3755,6.408,5.504,62.0,48.54,1.0
-0.035,0.297875,6.418,5.5,62.0,48.57,1.0
0.077,0.199375,6.426,5.495,62.0,48.58,1.0
0.246,0.119125,6.432,5.49,62.0,48.57,1.0
0.077,0.3315,6.437,5.485,62.0,48.58,1.0
-0.119,0.1165,6.444,5.48,60.0,48.57,1.0
-0.114,0.114,6.447,5.474,60.0,48.56,1.0
-0.113,0.114,6.45,5.468,60.0,48.49,1.0
-0.121,0.227875,6.451,5.461,60.0,48.43,1.0
-0.117,0.29525,6.452,5.454,60.0,48.43,1.0
-0.11,0.220125,6.451,5.448,60.0,48.42,1.0
-0.103,0.313375,6.45,5.44,60.0,48.44,1.0
-0.053,0.409125,6.447,5.433,60.0,48.45,1.0
-0.111,0.300375,6.442,5.426,60.0,48.43,1.0
-0.08899999999999998,0.196875,6.44,5.419,60.0,48.43,1.0
0.231,0.35225,6.435,5.411,60.0,48.48,1.0
-0.032,0.256375,6.43,5.405,60.0,48.55,1.0
0.047,0.02325,6.425,5.398,60.0,48.63,1.0
0.198,0.160625,6.418,5.392,60.0,48.76,1.0
0.265,0.29,6.412,5.386,60.0,48.9,1.0
-0.05,0.35475,6.405,5.379,60.0,49.06,1.0
-0.1,0.191625,6.397,5.372,60.0,49.24,1.0
-0.08999999999999998,0.02075,6.392,5.366,60.0,49.38,1.0
-0.1,0.308125,6.385,5.361,60.0,49.46,1.0
-0.105,0.39625,6.377,5.354,60.0,49.62,1.0
-0.103,0.321125,6.37,5.348,60.0,49.8,1.0
-0.085,0.246,6.364,5.342,60.0,50.01,1.0
-0.049,0.202,6.358,5.336,60.0,50.2,1.0
-0.104,0.02075,6.35,5.331,60.0,50.32,1.0
0.13,0.22275,6.343,5.326,60.0,50.43,1.0
0.07499999999999998,0.35475,6.336,5.321,60.0,50.57,1.0
-0.003,0.3315,6.33,5.316,60.0,50.71,1.0
0.08999999999999998,0.328875,6.323,5.311,60.0,50.78,1.0
0.249,0.1165,6.318,5.306,60.0,50.74,1.0
0.188,0.227875,6.31,5.303,60.0,50.65,1.0
-0.07399999999999998,0.227875,6.305,5.299,63.0,50.48,1.0
-0.091,0.22525,6.298,5.294,63.0,50.28,1.0
-0.08899999999999998,0.2745,6.293,5.289,63.0,50.07,1.0
-0.105,0.199375,6.288,5.286,63.0,49.82,1.0
-0.108,0.2745,6.28,5.281,63.0,49.63,1.0
-0.108,0.29525,6.275,5.276,63.0,49.49,1.0
-0.1,0.328875,6.271,5.271,63.0,49.4,1.0
-0.048,0.328875,6.266,5.268,63.0,49.31,1.0
-0.105,0.25375,6.261,5.264,63.0,49.21,1.0
-0.06,0.269375,6.253,5.259,63.0,49.11,1.0
0.246,0.292625,6.249,5.256,63.0,49.07,1.0
-0.01,0.313375,6.246,5.253,63.0,49.03,1.0
0.071,0.292625,6.241,5.249,63.0,49.0,1.0
0.229,0.29525,6.236,5.244,63.0,48.97,1.0
0.287,0.31075,6.231,5.241,63.0,48.93,1.0
-0.03,0.3755,6.226,5.238,63.0,48.89,1.0
-0.072,0.33925,6.221,5.234,60.0,48.85,1.0
-0.061,0.341875,6.217,5.231,60.0,48.81,1.0
-0.068,0.199375,6.213,5.228,60.0,48.68,1.0
-0.077,0.160625,6.208,5.224,60.0,48.64,1.0
-0.078,0.163125,6.205,5.22,60.0,48.61,1.0
-0.07399999999999998,0.160625,6.201,5.218,60.0,48.61,1.0
-0.057,0.199375,6.196,5.214,60.0,48.64,1.0
-0.027,0.334125,6.192,5.212,60.0,48.63,1.0
-0.08,0.0285,6.188,5.208,60.0,48.62,1.0
0.241,0.25125,6.185,5.204,60.0,48.63,1.0
0.023,0.36775,6.181,5.202,60.0,48.65,1.0
0.034,0.401375,6.178,5.199,60.0,48.68,1.0
0.131,0.292625,6.174,5.196,60.0,48.68,1.0
0.307,0.02325,6.171,5.193,60.0,48.68,1.0
0.232,0.227875,6.166,5.189,60.0,48.69,1.0
-0.042,0.22525,6.164,5.186,60.0,48.68,1.0
-0.043,0.196875,6.159,5.183,59.0,48.68,1.0
-0.042,0.196875,6.156,5.181,59.0,48.62,1.0
-0.054,0.378125,6.153,5.178,59.0,48.54,1.0
-0.059,0.25125,6.149,5.174,59.0,48.53,1.0
-0.058,0.0155,6.146,5.172,59.0,48.53,1.0
-0.054,0.308125,6.139,5.166,59.0,48.58,1.0
-0.037,0.25125,6.139,5.167,59.0,48.58,1.0
0.003,0.227875,6.136,5.163,59.0,48.56,1.0
-0.048,0.227875,6.134,5.159,59.0,48.54,1.0
0.188,0.269375,6.13,5.157,59.0,48.58,1.0
0.124,0.3755,6.126,5.154,59.0,48.6,1.0
0.06,0.227875,6.123,5.152,59.0,48.61,1.0
0.152,0.256375,6.12,5.149,59.0,48.6,1.0
0.324,0.227875,6.116,5.147,59.0,48.62,1.0
0.286,0.284875,6.114,5.143,59.0,48.62,1.0
-0.004,0.29525,6.11,5.141,59.0,48.61,1.0
-0.022,0.25375,6.109,5.138,58.0,48.59,1.0
-0.014,0.19425,6.105,5.136,58.0,48.55,1.0
-0.023,0.25125,6.103,5.133,58.0,48.47,1.0
-0.022,0.25375,6.1,5.131,58.0,48.5,1.0
-0.015,0.02075,6.097,5.127,58.0,48.61,1.0
-0.011,0.158,6.093,5.125,58.0,48.76,1.0
0.024,0.19425,6.091,5.122,58.0,48.95,1.0
0.035,0.313375,6.087,5.12,58.0,49.1,1.0
0.005,0.031125,6.084,5.117,58.0,49.27,1.0
0.443,0.29,6.082,5.115,58.0,49.46,1.0
0.022,0.3315,6.079,5.112,58.0,49.66,1.0
0.152,0.277125,6.077,5.11,58.0,49.86,1.0
0.27,0.334125,6.073,5.107,58.0,50.02,1.0
0.45,0.033625,6.071,5.105,58.0,50.2,1.0
0.248,0.271875,6.068,5.102,58.0,50.38,1.0
0.057,0.409125,6.066,5.1,58.0,50.56,1.0
0.056,0.259,6.063,5.097,58.0,50.72,1.0
0.044,0.391,6.061,5.095,58.0,50.83,1.0
0.034,0.313375,6.057,5.092,58.0,50.9,1.0
0.029,0.378125,6.054,5.09,58.0,50.96,1.0
0.032,0.025875,6.051,5.087,58.0,50.97,1.0
0.07299999999999998,0.19425,6.048,5.085,58.0,50.93,1.0
0.008,0.3755,6.046,5.084,58.0,50.83,1.0
0.102,0.305625,6.043,5.08,59.0,50.64,1.0
0.312,0.39625,6.041,5.077,59.0,50.43,1.0
0.08899999999999998,0.114,6.038,5.076,59.0,50.28,1.0
0.168,0.196875,6.034,5.074,59.0,50.14,1.0
0.326,0.328875,6.032,5.071,59.0,49.99,1.0
0.336,0.36775,6.029,5.067,59.0,49.82,1.0
0.018,0.347,6.027,5.066,59.0,49.65,1.0
-0.013,0.163125,6.024,5.064,59.0,49.49,1.0
-0.01,0.111375,6.022,5.061,50.0,49.32,1.0
-0.022,0.357375,6.018,5.059,50.0,49.11,1.0
-0.033,0.25375,6.016,5.056,50.0,48.98,1.0
-0.038,0.271875,6.013,5.054,50.0,48.9,1.0
-0.019,0.163125,6.011,5.051,50.0,48.85,1.0
0.001,0.227875,6.009,5.049,50.0,48.82,1.0
-0.054,0.163125,6.006,5.046,50.0,48.75,1.0
0.329,0.25125,6.004,5.045,50.0,48.71,1.0
-0.018,0.341875,6.0,5.042,50.0,48.71,1.0
0.05,0.3755,5.999,5.04,50.0,48.71,1.0
0.144,0.196875,5.995,5.038,50.0,48.71,1.0
0.322,0.1165,5.994,5.037,50.0,48.7,1.0
0.204,0.114,5.991,5.034,50.0,48.7,1.0
-0.055,0.163125,5.989,5.032,50.0,48.68,1.0
-0.06,0.35475,5.986,5.029,50.0,48.68,1.0
-0.059,0.42475,5.984,5.027,50.0,48.61,1.0
-0.072,0.292625,5.981,5.024,50.0,48.53,1.0
-0.08,0.0155,5.979,5.022,50.0,48.5,1.0
-0.083,0.196875,5.975,5.02,50.0,48.51,1.0
-0.053,0.111375,5.974,5.017,50.0,48.51,1.0
-0.058,0.370375,5.971,5.015,50.0,48.54,1.0
-0.101,0.220125,5.969,5.013,50.0,48.52,1.0
0.339,0.269375,5.966,5.012,50.0,48.52,1.0
-0.115,0.313375,5.964,5.008,50.0,48.54,1.0
0.016,0.269375,5.961,5.007,50.0,48.57,1.0
0.119,0.02325,5.959,5.004,62.0,48.58,1.0
0.299,0.018125,5.957,5.002,62.0,48.58,1.0
0.128,0.365125,5.955,5.0,62.0,48.58,1.0
-0.095,0.401375,5.952,4.998,62.0,48.56,1.0
-0.1,0.29525,5.95,4.995,62.0,48.55,1.0
-0.097,0.365125,5.947,4.994,62.0,48.51,1.0
-0.106,0.277125,5.946,4.992,62.0,48.5,1.0
-0.113,0.248625,5.942,4.989,62.0,48.61,1.0
-0.109,0.248625,5.94,4.987,62.0,48.75,1.0
-0.078,0.196875,5.937,4.984,62.0,48.94,1.0
-0.07,0.308125,5.936,4.983,62.0,49.14,1.0
-0.111,0.19425,5.934,4.982,62.0,49.3,1.0
0.311,0.202,5.931,4.979,62.0,49.47,1.0
-0.099,0.33925,5.929,4.978,62.0,49.68,1.0
0.008,0.16575,5.926,4.975,62.0,49.9,1.0
0.112,0.196875,5.925,4.974,61.0,50.08,1.0
0.301,0.02075,5.922,4.972,61.0,50.25,1.0
0.174,0.336625,5.92,4.97,61.0,50.44,1.0
-0.064,0.277125,5.919,4.969,61.0,50.59,1.0
-0.07499999999999998,0.227875,5.917,4.967,61.0,50.74,1.0
-0.08,0.227875,5.914,4.967,61.0,50.86,1.0
-0.09300000000000001,0.2745,5.912,4.964,61.0,50.9,1.0
-0.101,0.248625,5.909,4.963,61.0,50.94,1.0
-0.082,0.357375,5.907,4.96,61.0,50.89,1.0
-0.066,0.227875,5.904,4.959,61.0,50.82,1.0
-0.116,0.29525,5.902,4.957,61.0,50.69,1.0
0.196,0.2305,5.899,4.955,61.0,50.47,1.0
0.004,0.341875,5.897,4.954,61.0,50.26,1.0
-0.007,0.196875,5.894,4.952,61.0,50.09,1.0
0.08899999999999998,0.163125,5.892,4.95,65.0,49.94,1.0
0.268,0.1165,5.89,4.95,65.0,49.76,1.0
0.179,0.305625,5.888,4.947,65.0,49.56,1.0
-0.092,0.36,5.885,4.946,65.0,49.38,1.0
-0.098,0.341875,5.883,4.945,65.0,49.23,1.0
-0.096,0.018125,5.882,4.942,65.0,49.06,1.0
-0.106,0.25375,5.879,4.941,65.0,48.87,1.0
-0.112,0.1165,5.877,4.938,65.0,48.78,1.0
-0.112,0.1165,5.874,4.937,65.0,48.74,1.0
-0.107,0.19425,5.872,4.935,65.0,48.7,1.0
-0.06,0.227875,5.869,4.933,65.0,48.65,1.0
-0.117,0.31075,5.868,4.931,65.0,48.6,1.0
-0.116,0.308125,5.865,4.93,65.0,48.6,1.0
0.262,0.29,5.863,4.927,65.0,48.63,1.0
-0.032,0.378125,5.86,4.925,65.0,48.63,1.0
0.037,0.2745,5.859,4.923,65.0,48.62,1.0
0.18,0.02075,5.857,4.921,60.0,48.61,1.0
0.287,0.292625,5.854,4.92,60.0,48.6,1.0
-0.049,0.347,5.852,4.917,60.0,48.59,1.0
-0.117,0.35225,5.852,4.915,60.0,48.58,1.0
-0.111,0.32625,5.849,4.913,60.0,48.58,1.0
-0.121,0.163125,5.845,4.912,60.0,48.48,1.0
-0.137,0.25125,5.844,4.91,60.0,48.42,1.0
-0.136,0.196875,5.842,4.907,60.0,48.42,1.0
-0.142,0.03625,5.839,4.906,60.0,48.43,1.0
-0.133,0.25125,5.837,4.903,60.0,48.47,1.0
-0.083,0.305625,5.835,4.901,60.0,48.47,1.0
-0.144,0.398875,5.833,4.898,60.0,48.44,1.0
-0.117,0.3445,5.832,4.897,60.0,48.46,1.0
0.214,0.313375,5.83,4.895,60.0,48.48,1.0
-0.056,0.29525,5.828,4.893,60.0,48.5,1.0
0.016,0.227875,5.825,4.891,60.0,48.52,1.0
0.165,0.22525,5.823,4.888,58.0,48.54,1.0
0.245,0.357375,5.821,4.887,58.0,48.54,1.0
-0.092,0.248625,5.818,4.885,58.0,48.53,1.0
-0.146,0.16575,5.817,4.882,58.0,48.52,1.0
-0.138,0.25375,5.816,4.882,58.0,48.5,1.0
-0.15,0.2875,5.813,4.878,58.0,48.44,1.0
-0.158,0.163125,5.811,4.877,58.0,48.42,1.0
-0.161,0.292625,5.81,4.875,58.0,48.42,1.0
-0.159,0.316,5.807,4.872,58.0,48.46,1.0
-0.155,0.119125,5.805,4.87,58.0,48.57,1.0
-0.106,0.114,5.802,4.87,58.0,48.67,1.0
-0.151,0.3445,5.801,4.867,58.0,48.79,1.0
-0.166,0.341875,5.798,4.865,58.0,49.0,1.0
0.228,0.300375,5.797,4.863,58.0,49.27,1.0
-0.08,0.31075,5.795,4.861,58.0,49.49,1.0
-0.006,0.163125,5.792,4.86,58.0,49.68,1.0
0.132,0.025875,5.79,4.858,57.0,49.87,1.0
0.275,0.240875,5.788,4.855,57.0,50.06,1.0
-0.04,0.393625,5.786,4.854,57.0,50.24,1.0
-0.135,0.261625,5.785,4.853,57.0,50.42,1.0
-0.135,0.32375,5.782,4.85,57.0,50.59,1.0
-0.145,0.25375,5.781,4.849,57.0,50.67,1.0
-0.166,0.347,5.778,4.846,57.0,50.77,1.0
-0.172,0.163125,5.777,4.844,57.0,50.88,1.0
-0.152,0.227875,5.775,4.843,57.0,50.98,1.0
-0.118,0.313375,5.772,4.84,57.0,51.01,1.0
-0.174,0.36,5.77,4.839,57.0,50.93,1.0
0.141,0.28225,5.767,4.838,57.0,50.81,1.0
-0.047,0.404,5.766,4.835,57.0,50.73,1.0
-0.063,0.25125,5.765,4.833,57.0,50.67,1.0
0.036,0.16575,5.762,4.833,63.0,50.6,1.0
0.21,0.1165,5.76,4.829,63.0,50.5,1.0
0.129,0.32375,5.758,4.828,63.0,50.38,1.0
-0.144,0.308125,5.757,4.826,63.0,50.23,1.0
-0.157,0.19425,5.753,4.824,63.0,50.09,1.0
-0.151,0.02075,5.752,4.823,63.0,49.92,1.0
-0.165,0.095875,5.75,4.82,63.0,49.69,1.0
-0.202,0.46875,5.747,4.818,63.0,49.51,1.0
-0.235,0.505,5.746,4.816,63.0,49.4,1.0
-0.158,0.160625,5.745,4.815,63.0,49.32,1.0
-0.105,0.2435,5.743,4.813,63.0,49.27,1.0
-0.184,0.277125,5.74,4.811,63.0,49.18,1.0
-0.142,0.25125,5.739,4.809,63.0,49.06,1.0
0.231,0.2745,5.736,4.808,63.0,48.67,1.0
-0.039,0.321125,5.735,4.808,63.0,48.34,1.0
0.039,0.349625,5.733,4.806,63.0,48.16,1.0
0.183,0.19425,5.73,4.805,63.0,48.19,1.0
0.287,0.2745,5.729,4.803,63.0,48.33,1.0
-0.047,0.36,5.725,4.803,63.0,48.61,1.0
-0.143,0.3315,5.724,4.8,60.0,48.81,1.0
-0.158,0.29,5.723,4.799,60.0,48.89,1.0
-0.168,0.1165,5.72,4.798,60.0,48.54,1.0
-0.183,0.160625,5.718,4.795,60.0,48.36,1.0
-0.187,0.1165,5.715,4.793,60.0,48.55,1.0
-0.161,0.02075,5.715,4.79,60.0,48.72,1.0
-0.17,0.02325,5.713,4.79,60.0,49.3,1.0
-0.212,0.25375,5.71,4.788,60.0,50.12,1.0
0.234,0.28225,5.71,4.786,60.0,50.64,1.0
-0.226,0.32625,5.708,4.784,60.0,50.99,1.0
-0.099,0.25125,5.705,4.783,60.0,51.24,1.0
0.01,0.36,5.705,4.781,64.0,51.38,1.0
0.198,0.36,5.703,4.78,64.0,51.44,1.0
0.0,0.370375,5.701,4.778,64.0,51.43,1.0
-0.196,0.35475,5.7,4.776,64.0,51.58,1.0
-0.201,0.269375,5.698,4.775,64.0,51.83,1.0
-0.19,0.3885,5.696,4.773,64.0,51.98,1.0
-0.206,0.05175,5.695,4.773,64.0,52.03,1.0
-0.176,0.1165,5.694,4.771,64.0,52.16,1.0
-0.161,0.25375,5.691,4.771,64.0,52.35,1.0
-0.217,0.163125,5.69,4.771,64.0,52.73,1.0
0.229,0.271875,5.689,4.771,64.0,53.45,1.0
-0.228,0.393625,5.688,4.772,64.0,54.21,1.0
-0.104,0.271875,5.685,4.773,64.0,54.52,1.0
0.013,0.308125,5.685,4.776,71.0,54.6,1.0
0.203,0.114,5.683,4.781,71.0,54.42,1.0
-0.002,0.3755,5.683,4.787,71.0,54.13,1.0
-0.202,0.401375,5.68,4.795,71.0,53.84,1.0
-0.184,0.297875,5.68,4.805,71.0,53.65,1.0
-0.181,0.1165,5.683,4.816,71.0,53.59,1.0
-0.189,0.02075,5.684,4.829,71.0,53.57,1.0
-0.155,0.02075,5.689,4.844,71.0,53.6,1.0
-0.153,0.25125,5.694,4.858,71.0,53.6,1.0
-0.214,0.25125,5.699,4.871,71.0,53.44,1.0
0.233,0.22275,5.704,4.888,71.0,53.0,1.0
-0.224,0.313375,5.71,4.907,71.0,52.1,1.0
-0.107,0.227875,5.716,4.925,71.0,50.89,1.0
0.025,0.401375,5.725,4.942,71.0,50.08,1.0
0.204,0.256375,5.734,4.96,71.0,49.88,1.0
0.0,0.347,5.742,4.977,71.0,49.7,1.0
-0.16,0.227875,5.752,4.993,71.0,49.62,1.0
-0.155,0.3315,5.763,5.01,71.0,49.24,1.0
-0.158,0.341875,5.774,5.026,71.0,47.66,1.0
-0.151,0.328875,5.788,5.042,71.0,46.61,1.0
-0.113,0.191625,5.802,5.061,71.0,46.41,1.0
-0.194,0.357375,5.816,5.081,71.0,46.7,1.0
0.153,0.341875,5.83,5.102,71.0,46.85,1.0
-0.114,0.31075,5.845,5.131,71.0,47.04,1.0
-0.061,0.38075,5.86,5.16,71.0,47.52,1.0
0.042,0.240875,5.877,5.19,71.0,47.92,1.0
0.221,0.025875,5.893,5.222,71.0,48.06,1.0
0.1,0.308125,5.912,5.26,71.0,48.17,1.0
-0.14,0.3445,5.931,5.306,76.0,48.24,1.0
-0.141,0.163125,5.952,5.347,76.0,48.46,1.0
-0.139,0.269375,5.975,5.393,76.0,48.79,1.0
-0.15,0.39625,5.999,5.438,76.0,48.89,1.0
-0.098,0.27975,6.024,5.481,76.0,48.89,1.0
-0.142,0.341875,6.049,5.524,76.0,49.0,1.0
-0.167,0.2745,6.077,5.563,76.0,49.11,1.0
0.209,0.256375,6.105,5.599,76.0,49.05,1.0
-0.07499999999999998,0.41175,6.135,5.634,76.0,48.82,1.0
